                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                 1.4572,                 1.4427,                 1.5282,                0.89635,                 0.8458,                0.92853,                0.65559,                 1.0873,                 1.1979,                 1.4002,             3.3175e-06,             3.3175e-06,             3.3175e-06
                     30,                 1.5836,                  1.709,                 1.6535,                0.89635,                 0.8458,                0.92853,                0.65559,                 1.0873,                 1.1979,                 1.4002,               3.07e-06,               3.07e-06,               3.07e-06
                     31,                 1.5601,                 1.4826,                 1.8059,                0.90032,                0.88725,                0.94358,                  0.697,                 1.0331,                 1.1255,                 1.3144,             2.8225e-06,             2.8225e-06,             2.8225e-06
                     32,                 1.6828,                 1.5341,                 1.8487,                0.90032,                0.88725,                0.94358,                  0.697,                 1.0331,                 1.1255,                 1.3144,              2.575e-06,              2.575e-06,              2.575e-06
                     33,                 1.4919,                 1.3996,                 1.6042,                0.90318,                0.90555,                0.94268,                0.69375,                 1.0088,                 1.0397,                  1.299,             2.3275e-06,             2.3275e-06,             2.3275e-06
                     34,                 1.4404,                 1.3405,                 1.6572,                0.90318,                0.90555,                0.94268,                0.69375,                 1.0088,                 1.0397,                  1.299,               2.08e-06,               2.08e-06,               2.08e-06
                     35,                 1.5336,                  1.413,                 1.7384,                0.91165,                0.90516,                 0.9459,                 0.6964,                 1.0107,                 1.0417,                 1.2999,             1.8325e-06,             1.8325e-06,             1.8325e-06
                     36,                 1.6744,                  1.515,                 1.8518,                0.91165,                0.90516,                 0.9459,                 0.6964,                 1.0107,                 1.0417,                 1.2999,              1.585e-06,              1.585e-06,              1.585e-06
                     37,                  1.464,                 1.3113,                 1.6265,                0.92004,                0.90379,                0.94618,                0.69544,                 1.0057,                 1.0397,                 1.2936,             1.3375e-06,             1.3375e-06,             1.3375e-06
                     38,                 1.4669,                 1.4354,                 1.6591,                0.92004,                0.90379,                0.94618,                0.69544,                 1.0057,                 1.0397,                 1.2936,               1.09e-06,               1.09e-06,               1.09e-06
                     39,                 1.4887,                 1.3562,                 1.7527,                0.92113,                0.88889,                0.94501,                0.69318,                 1.0187,                 1.0342,                 1.3074,              8.425e-07,              8.425e-07,              8.425e-07
                     40,                 1.7769,                 1.6554,                 1.9727,                0.92113,                0.88889,                0.94501,                0.69318,                 1.0187,                 1.0342,                 1.3074,               5.95e-07,               5.95e-07,               5.95e-07
