                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7553,                 1.7157,                  1.658,                0.48109,                0.54932,                0.54148,                0.27086,                 1.9253,                 2.2071,                 2.0254,               0.085002,                1.5e-06,                1.5e-06
                      2,                 1.6402,                 1.5558,                 1.7309,                 0.7199,                0.69977,                0.75667,                0.45469,                 1.6339,                 1.7913,                 1.8234,               0.069003,             3.0233e-06,             3.0233e-06
                      3,                 1.7455,                 1.6905,                 1.7466,                0.86299,                0.74611,                0.87728,                0.54344,                 1.3699,                 1.5555,                 1.6066,               0.053004,             4.4674e-06,             4.4674e-06
                      4,                 1.6115,                 1.6384,                 1.6748,                0.90516,                0.76698,                0.92634,                0.63253,                 1.2047,                 1.3931,                 1.4866,               0.037006,             5.8322e-06,             5.8322e-06
                      5,                 1.6849,                 1.5695,                 1.7557,                0.84252,                0.81802,                0.92541,                0.64131,                 1.1362,                 1.3281,                 1.4245,               0.021007,             7.1179e-06,             7.1179e-06
                      6,                 1.5104,                 1.4982,                 1.5835,                0.84252,                0.81802,                0.92541,                0.64131,                 1.1362,                 1.3281,                 1.4245,              0.0050083,             8.3244e-06,             8.3244e-06
                      7,                 1.7094,                 1.7567,                 1.7649,                0.87593,                 0.8335,                0.93475,                  0.653,                 1.1164,                 1.2608,                 1.3999,              8.515e-06,              8.515e-06,              8.515e-06
                      8,                  1.608,                 1.6154,                 1.6401,                0.87593,                 0.8335,                0.93475,                  0.653,                 1.1164,                 1.2608,                 1.3999,              8.515e-06,              8.515e-06,              8.515e-06
                      9,                 1.5788,                 1.5645,                 1.6355,                0.87553,                0.83366,                0.93036,                0.64806,                 1.1213,                 1.2742,                 1.4136,             8.2675e-06,             8.2675e-06,             8.2675e-06
                     10,                 1.7431,                 1.5782,                 1.6912,                0.87553,                0.83366,                0.93036,                0.64806,                 1.1213,                 1.2742,                 1.4136,               8.02e-06,               8.02e-06,               8.02e-06
                     11,                 1.6294,                 1.6395,                 1.6997,                0.86715,                 0.8506,                0.93483,                0.65015,                 1.0992,                 1.2255,                  1.371,             7.7725e-06,             7.7725e-06,             7.7725e-06
                     12,                 1.4795,                 1.5485,                 1.5424,                0.86715,                 0.8506,                0.93483,                0.65015,                 1.0992,                 1.2255,                  1.371,              7.525e-06,              7.525e-06,              7.525e-06
                     13,                 1.6016,                 1.6542,                 1.6128,                0.87008,                0.84565,                0.93034,                0.65062,                 1.0972,                 1.2406,                 1.3755,             7.2775e-06,             7.2775e-06,             7.2775e-06
                     14,                 1.6343,                  1.729,                 1.6931,                0.87008,                0.84565,                0.93034,                0.65062,                 1.0972,                 1.2406,                 1.3755,               7.03e-06,               7.03e-06,               7.03e-06
                     15,                  1.543,                 1.5233,                 1.5904,                0.88314,                0.85187,                 0.9363,                0.64937,                 1.0982,                 1.2294,                 1.3866,             6.7825e-06,             6.7825e-06,             6.7825e-06
                     16,                 1.4503,                  1.436,                 1.5828,                0.88314,                0.85187,                 0.9363,                0.64937,                 1.0982,                 1.2294,                 1.3866,              6.535e-06,              6.535e-06,              6.535e-06
                     17,                 1.5165,                 1.5858,                 1.5429,                0.87562,                0.84601,                0.93719,                0.65297,                 1.0694,                  1.217,                 1.3734,             6.2875e-06,             6.2875e-06,             6.2875e-06
                     18,                 1.5737,                 1.5078,                 1.5833,                0.87562,                0.84601,                0.93719,                0.65297,                 1.0694,                  1.217,                 1.3734,               6.04e-06,               6.04e-06,               6.04e-06
                     19,                 1.5122,                 1.5004,                 1.5201,                0.88617,                0.84639,                0.93392,                0.64759,                 1.0748,                 1.2053,                 1.3733,             5.7925e-06,             5.7925e-06,             5.7925e-06
                     20,                 1.5569,                 1.5085,                 1.6598,                0.88617,                0.84639,                0.93392,                0.64759,                 1.0748,                 1.2053,                 1.3733,              5.545e-06,              5.545e-06,              5.545e-06
                     21,                 1.6013,                 1.7247,                  1.663,                  0.847,                0.91024,                0.94596,                0.68969,                 1.0373,                 1.1418,                 1.3168,             5.2975e-06,             5.2975e-06,             5.2975e-06
                     22,                 1.4743,                 1.5089,                 1.5447,                  0.847,                0.91024,                0.94596,                0.68969,                 1.0373,                 1.1418,                 1.3168,               5.05e-06,               5.05e-06,               5.05e-06
                     23,                  1.484,                 1.4794,                 1.5472,                0.87883,                0.83983,                 0.9327,                0.66085,                 1.0777,                 1.1932,                 1.3718,             4.8025e-06,             4.8025e-06,             4.8025e-06
                     24,                 1.5454,                 1.5911,                 1.5867,                0.87883,                0.83983,                 0.9327,                0.66085,                 1.0777,                 1.1932,                 1.3718,              4.555e-06,              4.555e-06,              4.555e-06
                     25,                 1.5492,                 1.5738,                 1.5813,                0.87825,                0.84083,                0.93058,                0.65244,                 1.0775,                 1.2295,                 1.3921,             4.3075e-06,             4.3075e-06,             4.3075e-06
                     26,                 1.5852,                 1.5292,                 1.5274,                0.87825,                0.84083,                0.93058,                0.65244,                 1.0775,                 1.2295,                 1.3921,               4.06e-06,               4.06e-06,               4.06e-06
                     27,                 1.6207,                 1.5678,                 1.6671,                0.87242,                0.84669,                0.93207,                0.65411,                 1.0762,                 1.2035,                 1.3849,             3.8125e-06,             3.8125e-06,             3.8125e-06
                     28,                 1.4972,                 1.4842,                 1.5711,                0.87242,                0.84669,                0.93207,                0.65411,                 1.0762,                 1.2035,                 1.3849,              3.565e-06,              3.565e-06,              3.565e-06
