                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6134,                 3.2147,                 2.3926,                 0.6532,                0.08479,                0.06617,                0.02805,                 2.5544,                  3.179,                 2.6497,             0.00025005,             0.00025005,             0.00025005
                      2,                 2.0404,                 2.5209,                  1.998,                0.69135,                0.10095,                0.12189,                0.04741,                 2.1293,                 4.0404,                 2.2479,             0.00050398,             0.00050398,             0.00050398
                      3,                 1.8586,                 2.4699,                 1.8242,                 0.4289,                0.45911,                 0.3255,                0.13318,                 1.8919,                 3.5127,                 1.9153,             0.00074471,             0.00074471,             0.00074471
                      4,                 1.9772,                 2.8008,                 1.8994,                 0.1236,                0.20968,                0.14298,                0.06065,                 1.9102,                 3.6646,                 2.1122,             0.00097223,             0.00097223,             0.00097223
